date,apple,facebook
2016/09/28,113.949997,129.229996
2016/09/29,112.180000,128.089996
2016/09/30,113.050003,128.270004
2016/10/03,112.519997,128.770004
2016/10/04,113.000000,128.190002
2016/10/05,113.050003,128.470001
2016/10/06,113.889999,128.740005
2016/10/07,114.059998,128.990005
2016/10/10,116.050003,130.240005
2016/10/11,116.300003,128.880005
2016/10/12,117.339996,129.050003
2016/10/13,116.980003,127.820000
2016/10/14,117.629997,127.879997
2016/10/17,117.550003,127.540001
2016/10/18,117.470001,128.570007
2016/10/19,117.120003,130.110001
2016/10/20,117.059998,130.000000
2016/10/21,116.599998,132.070007
2016/10/24,117.650002,133.279999
2016/10/25,118.250000,132.289993
2016/10/26,115.589996,131.039993
2016/10/27,114.480003,129.690002
2016/10/28,113.720001,131.289993
2016/10/31,113.540001,130.990005
2016/11/01,111.489998,129.500000
2016/11/02,111.589996,127.169998
2016/11/03,109.830002,120.000000
2016/11/04,108.839996,120.750000
2016/11/07,110.410004,122.150002
2016/11/08,111.059998,124.220001
2016/11/09,110.879997,123.180000
2016/11/10,107.790001,120.800003
2016/11/11,108.430000,119.019997
2016/11/14,105.709999,115.080002
2016/11/15,107.110001,117.199997
2016/11/16,109.989998,116.339996
2016/11/17,109.949997,117.790001
2016/11/18,110.059998,117.019997
2016/11/21,111.730003,121.769997
2016/11/22,111.800003,121.470001
2016/11/23,111.230003,120.839996
2016/11/25,111.790001,120.379997
2016/11/28,111.570000,120.410004
2016/11/29,111.459999,120.870003
2016/11/30,110.519997,118.419998
2016/12/01,109.489998,115.099998
2016/12/02,109.900002,115.400002
2016/12/05,109.110001,117.430000
2016/12/06,109.949997,117.309998
2016/12/07,111.029999,117.949997
2016/12/08,112.120003,118.910004
2016/12/09,113.949997,119.680000
2016/12/12,113.300003,117.769997
2016/12/13,115.190002,120.309998
2016/12/14,115.190002,120.209999
2016/12/15,115.820000,120.570000
2016/12/16,115.970001,119.870003
2016/12/19,116.639999,119.239998
2016/12/20,116.949997,119.089996
2016/12/21,117.059998,119.040001
2016/12/22,116.290001,117.400002
2016/12/23,116.519997,117.269997
2016/12/27,117.260002,118.010002
2016/12/28,116.760002,116.919998
2016/12/29,116.730003,116.349998
2016/12/30,115.820000,115.050003
2017/01/03,116.150002,116.860001
2017/01/04,116.019997,118.690002
2017/01/05,116.610001,120.669998
2017/01/06,117.910004,123.410004
2017/01/09,118.989998,124.900002
2017/01/10,119.110001,124.349998
2017/01/11,119.750000,126.089996
2017/01/12,119.250000,126.620003
2017/01/13,119.040001,128.339996
2017/01/17,120.000000,127.870003
2017/01/18,119.989998,127.919998
2017/01/19,119.779999,127.550003
2017/01/20,120.000000,127.040001
2017/01/23,120.080002,128.929993
2017/01/24,119.970001,129.369995
2017/01/25,121.879997,131.479996
2017/01/26,121.940002,132.779999
2017/01/27,121.949997,132.179993
2017/01/30,121.629997,130.979996
2017/01/31,121.349998,130.320007
2017/02/01,128.750000,133.229996
2017/02/02,128.529999,130.839996
2017/02/03,129.080002,130.979996
2017/02/06,130.289993,132.059998
2017/02/07,131.529999,131.839996
2017/02/08,132.039993,134.199997
2017/02/09,132.419998,134.139999
2017/02/10,132.119995,134.190002
2017/02/13,133.289993,134.050003
2017/02/14,135.020004,133.850006
2017/02/15,135.509995,133.440002
2017/02/16,135.350006,133.839996
2017/02/17,135.720001,133.529999
2017/02/21,136.699997,133.720001
2017/02/22,137.110001,136.119995
2017/02/23,136.529999,135.360001
2017/02/24,136.660004,135.440002
2017/02/27,136.929993,136.410004
2017/02/28,136.990005,135.539993
2017/03/01,139.789993,137.419998
2017/03/02,138.960007,136.759995
2017/03/03,139.779999,137.169998
2017/03/06,139.339996,137.419998
2017/03/07,139.520004,137.300003
2017/03/08,139.000000,137.720001
2017/03/09,138.679993,138.240005
2017/03/10,139.139999,138.789993
2017/03/13,139.199997,139.600006
2017/03/14,138.990005,139.320007
2017/03/15,140.460007,139.720001
2017/03/16,140.690002,139.990005
2017/03/17,139.990005,139.839996
2017/03/20,141.460007,139.940002
2017/03/21,139.839996,138.509995
2017/03/22,141.419998,139.589996
2017/03/23,140.919998,139.529999
2017/03/24,140.639999,140.339996
2017/03/27,140.880005,140.320007
2017/03/28,143.800003,141.759995
2017/03/29,144.119995,142.649994
2017/03/30,143.929993,142.410004
2017/03/31,143.660004,142.050003
2017/04/03,143.699997,142.279999
2017/04/04,144.770004,141.729996
2017/04/05,144.020004,141.850006
2017/04/06,143.660004,141.169998
2017/04/07,143.339996,140.779999
2017/04/10,143.169998,141.039993
2017/04/11,141.630005,139.919998
2017/04/12,141.800003,139.580002
2017/04/13,141.050003,139.389999
2017/04/17,141.830002,141.419998
2017/04/18,141.199997,140.960007
2017/04/19,140.679993,142.270004
2017/04/20,142.440002,143.800003
2017/04/21,142.270004,143.679993
2017/04/24,143.639999,145.470001
2017/04/25,144.529999,146.490005
2017/04/26,143.679993,146.559998
2017/04/27,143.789993,147.699997
2017/04/28,143.649994,150.250000
2017/05/01,146.580002,152.460007
2017/05/02,147.509995,152.779999
2017/05/03,147.059998,151.800003
2017/05/04,146.529999,150.850006
2017/05/05,148.960007,150.240005
2017/05/08,153.009995,151.059998
2017/05/09,153.990005,150.479996
2017/05/10,153.259995,150.289993
2017/05/11,153.949997,150.039993
2017/05/12,156.100006,150.330002
2017/05/15,155.699997,150.190002
2017/05/16,155.470001,149.779999
2017/05/17,150.250000,144.850006
2017/05/18,152.539993,147.660004
2017/05/19,153.059998,148.059998
2017/05/22,153.990005,148.240005
2017/05/23,153.800003,148.070007
2017/05/24,153.339996,150.039993
2017/05/25,153.869995,151.960007
2017/05/26,153.610001,152.130005
2017/05/30,153.669998,152.380005
2017/05/31,152.759995,151.460007
2017/06/01,153.179993,151.529999
2017/06/02,155.449997,153.610001
2017/06/05,153.929993,153.630005
2017/06/06,154.449997,152.809998
2017/06/07,155.369995,153.119995
2017/06/08,154.990005,154.710007
2017/06/09,148.979996,149.600006
2017/06/12,145.419998,148.440002
2017/06/13,146.589996,150.679993
2017/06/14,145.160004,150.250000
2017/06/15,144.289993,149.800003
2017/06/16,142.270004,150.639999
2017/06/19,146.339996,152.869995
2017/06/20,145.009995,152.250000
2017/06/21,145.869995,153.910004
2017/06/22,145.630005,153.399994
2017/06/23,146.279999,155.070007
2017/06/26,145.820007,153.589996
2017/06/27,143.729996,150.580002
2017/06/28,145.830002,153.240005
2017/06/29,143.679993,151.039993
2017/06/30,144.020004,150.979996
2017/07/03,143.500000,148.429993
2017/07/05,144.089996,150.339996
2017/07/06,142.729996,148.820007
2017/07/07,144.179993,151.440002
2017/07/10,145.059998,153.500000
2017/07/11,145.529999,155.270004
2017/07/12,145.740005,158.899994
2017/07/13,147.770004,159.259995
2017/07/14,149.039993,159.970001
2017/07/17,149.559998,159.729996
2017/07/18,150.080002,162.860001
2017/07/19,151.020004,164.139999
2017/07/20,150.339996,164.529999
2017/07/21,150.270004,164.429993
2017/07/24,152.089996,166.000000
2017/07/25,152.740005,165.279999
2017/07/26,153.460007,165.610001
2017/07/27,150.559998,170.440002
2017/07/28,149.500000,172.449997
2017/07/31,148.729996,169.250000
2017/08/01,150.050003,169.860001
2017/08/02,157.139999,169.300003
2017/08/03,155.570007,168.589996
2017/08/04,156.389999,169.619995
2017/08/07,158.809998,171.979996
2017/08/08,160.080002,171.229996
2017/08/09,161.059998,171.179993
2017/08/10,155.320007,167.399994
2017/08/11,157.479996,168.080002
2017/08/14,159.850006,170.750000
2017/08/15,161.600006,171.000000
2017/08/16,160.949997,170.000000
2017/08/17,157.860001,166.910004
2017/08/18,157.500000,167.410004
2017/08/21,157.210007,167.779999
2017/08/22,159.779999,169.639999
2017/08/23,159.979996,168.710007
2017/08/24,159.270004,167.740005
2017/08/25,159.860001,166.320007
2017/08/28,161.470001,167.240005
2017/08/29,162.910004,168.050003
2017/08/30,163.350006,169.919998
2017/08/31,164.000000,171.970001
2017/09/01,164.050003,172.020004
2017/09/05,162.080002,170.720001
2017/09/06,161.910004,172.089996
2017/09/07,161.259995,173.210007
2017/09/08,158.630005,170.949997
2017/09/11,161.500000,173.509995
2017/09/12,160.860001,172.960007
2017/09/13,159.649994,173.050003
2017/09/14,158.279999,170.960007
2017/09/15,159.880005,171.639999
2017/09/18,158.669998,170.009995
2017/09/19,158.729996,172.520004
2017/09/20,156.070007,172.169998
2017/09/21,153.389999,171.110001
2017/09/22,151.889999,170.539993
2017/09/25,150.550003,162.869995
2017/09/26,153.139999,164.210007
2017/09/27,154.229996,167.679993
2017/09/28,153.119995,168.274994
