ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11073754,JA414112,09/01/2017 12:55:00 AM,013XX W FILLMORE ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1231,012,2,28,03,1167699,1895420,2017,09/08/2017 03:48:38 PM,41.868579346,-87.659809647,"(41.868579346, -87.659809647)"
11073763,JA414094,09/01/2017 12:05:00 AM,043XX N SAWYER AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1724,017,33,16,03,1153941,1928609,2017,09/08/2017 03:48:38 PM,41.959937944,-87.70943209,"(41.959937944, -87.70943209)"
11073774,JA414111,09/01/2017 01:01:00 AM,031XX E 79TH ST,031A,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,false,false,0421,004,7,46,03,1198486,1853188,2017,09/08/2017 03:48:38 PM,41.751974553,-87.548202682,"(41.751974553, -87.548202682)"
11073786,JA414133,09/01/2017 01:50:00 AM,012XX W 95TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2213,022,21,73,03,1169573,1841771,2017,09/08/2017 03:48:38 PM,41.721319863,-87.654485132,"(41.721319863, -87.654485132)"
11073811,JA414141,09/01/2017 02:10:00 AM,011XX W TAYLOR ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1232,012,25,28,03,1168819,1895740,2017,09/08/2017 03:48:38 PM,41.869433264,-87.655688627,"(41.869433264, -87.655688627)"
11073814,JA414107,09/01/2017 12:48:00 AM,022XX S DAMEN AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1034,010,25,31,03,1163392,1888967,2017,09/08/2017 03:48:38 PM,41.850963347,-87.675802993,"(41.850963347, -87.675802993)"
11073817,JA414179,09/01/2017 03:30:00 AM,034XX W SUNNYSIDE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1723,017,33,14,03,1152451,1929690,2017,09/08/2017 03:48:38 PM,41.962933918,-87.714881365,"(41.962933918, -87.714881365)"
11073824,JA414185,09/01/2017 02:43:00 AM,055XX S DAMEN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,true,false,0715,007,15,67,03,1163972,1867858,2017,10/06/2017 03:55:20 PM,41.793025689,-87.674268552,"(41.793025689, -87.674268552)"
11073835,JA414157,09/01/2017 01:01:00 AM,016XX W FULTON ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1215,012,27,28,03,1165407,1902083,2017,09/08/2017 03:48:38 PM,41.886912201,-87.668034443,"(41.886912201, -87.668034443)"
11073838,JA414190,09/01/2017 03:54:00 AM,004XX N CICERO AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1532,015,28,25,03,1144294,1902377,2017,09/08/2017 03:48:38 PM,41.888141978,-87.74556032,"(41.888141978, -87.74556032)"
11073859,JA414204,09/01/2017 04:35:00 AM,063XX N WASHTENAW AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2413,024,50,2,03,1157182,1941867,2017,09/08/2017 03:48:38 PM,41.99625318,-87.697154639,"(41.99625318, -87.697154639)"
