publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p989051,,2016-12-31T22:46:22.946Z,2016-12-31T22:48:54.357Z,175.9242042,-38.44720646,2.663562355,125.9375,M,,NonLinLoc,,automatic,nz3drx,43,43,21,0.4411902069,71.05518314,1.697419215,0
2016p989042,,2016-12-31T22:41:47.694Z,2016-12-31T22:43:41.679Z,172.9517675,-42.64727451,2.312413516,14.84375,M,,NonLinLoc,,automatic,nz3drx,10,10,1,0.3258379623,107.2819282,0.3525575509,0
2016p989028,,2016-12-31T22:34:09.621Z,2016-12-31T22:36:06.168Z,174.1401479,-41.65978634,1.929142739,5.234375,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1056666725,81.92742439,0.6253697636,0
2016p989013,,2016-12-31T22:26:38.780Z,2016-12-31T22:28:25.295Z,174.2355358,-41.72431517,2.226652876,9.453125,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.03108433606,152.3801388,0.3098116474,0
2016p988994,,2016-12-31T22:16:03.468Z,2016-12-31T22:19:15.396Z,174.2703696,-41.71866449,2.901183297,11.328125,M,,NonLinLoc,,automatic,nz3drx,35,35,18,0.05323287402,137.768665,1.263558553,0
2016p988949,,2016-12-31T21:52:31.962Z,2016-12-31T21:55:06.194Z,173.715732,-42.14207682,2.897663604,29.84375,M,,NonLinLoc,,automatic,nz3drx,23,23,9,0.4428629108,144.9959967,0.6721704238,0
2016p988917,,2016-12-31T21:35:20.388Z,2016-12-31T21:36:40.971Z,167.552273,-45.1766765,2.224662507,62.1875,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.3894246638,162.862068,0.7981095103,0
2016p988897,,2016-12-31T21:24:43.894Z,2016-12-31T21:26:39.822Z,174.2685236,-41.73112222,2.498633825,8.28125,M,,NonLinLoc,,automatic,nz3drx,21,21,13,0.04539476966,140.9136099,0.5753107678,0
2016p988858,earthquake,2016-12-31T21:03:35.726Z,2017-01-01T17:12:47.225Z,178.3697815,-35.60454178,3.719125062,193.2993011,M,,LOCSAT,confirmed,manual,iasp91,31,25,17,1.954535007,264.8299561,0.4830921809,0
2016p988840,,2016-12-31T20:54:23.541Z,2016-12-31T20:56:42.306Z,178.2174286,-38.05886262,2.670991506,27.734375,M,,NonLinLoc,,automatic,nz3drx,24,24,13,0.03359412005,80.18932758,0.6787021606,0
2016p988750,,2016-12-31T20:06:11.694Z,2016-12-31T20:08:24.924Z,175.4486978,-40.92788286,2.059316357,24.921875,M,,NonLinLoc,,automatic,nz3drx,22,22,13,0.05848132576,50.80681319,0.5578427897,0
2016p988742,,2016-12-31T20:03:27.330Z,2016-12-31T20:05:29.100Z,176.7591792,-38.24291059,1.917966292,104.375,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.2341458879,202.6899361,1.681926889,0
2016p988713,,2016-12-31T19:46:35.821Z,2016-12-31T19:48:34.837Z,174.0137551,-41.78037223,2.408581024,20.46875,M,,NonLinLoc,,automatic,nz3drx,18,18,8,0.1203353448,130.5999115,0.7222354747,0
2016p988651,,2016-12-31T19:13:19.580Z,2016-12-31T19:54:31.587Z,176.6974008,-39.79590446,1.640532548,33.59375,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.1371962725,63.82763952,0.497850214,0
2016p988634,,2016-12-31T19:04:25.783Z,2016-12-31T19:06:30.226Z,173.6119282,-42.28589946,2.239983735,5.46875,M,,NonLinLoc,,automatic,nz3drx,12,12,5,0.1411339943,177.5493141,0.7766145107,0
2016p988619,,2016-12-31T18:56:29.406Z,2016-12-31T18:58:18.174Z,174.1069414,-41.85985034,2.256734684,14.84375,M,,NonLinLoc,,automatic,nz3drx,17,17,7,0.1360604138,171.5242602,0.5048001641,0
2016p988589,earthquake,2016-12-31T18:40:19.611Z,2017-01-27T01:59:11.499Z,173.7968331,-42.20034047,3.280745561,5.234375,M,,NonLinLoc,confirmed,manual,nz3drx,17,11,7,0.243162252,165.8833724,0.4998299832,0
2016p988577,earthquake,2016-12-31T18:34:09.176Z,2017-01-27T01:51:20.181Z,174.1447207,-41.71163957,2.82323243,12.265625,M,,NonLinLoc,confirmed,manual,nz3drx,25,18,11,0.06435902992,85.59573763,0.5264869966,0
2016p988550,,2016-12-31T18:19:48.744Z,2016-12-31T18:33:44.455Z,173.6570971,-42.00186304,2.374508029,24.6875,M,,NonLinLoc,,automatic,nz3drx,20,20,7,0.3297722909,133.3474779,0.5821909374,0
2016p988472,,2016-12-31T17:38:17.487Z,2016-12-31T17:40:47.248Z,171.9997236,-43.07729007,2.525138518,12.96875,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.2504633543,172.5805975,0.3515302572,0
2016p988379,,2016-12-31T16:48:33.059Z,2016-12-31T16:50:20.526Z,175.4305284,-39.18571016,0.6582138071,5.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.1135318076,185.0319188,0.8347571506,0
2016p988319,,2016-12-31T16:16:24.519Z,2016-12-31T16:18:45.132Z,175.9625675,-40.36635165,2.422109588,20.234375,M,,NonLinLoc,,automatic,nz3drx,43,43,28,0.1515161326,67.80371838,0.6677629305,0
2016p988253,,2016-12-31T15:41:32.319Z,2016-12-31T15:43:33.077Z,174.3522866,-41.58177461,2.200512187,64.0625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.3396791175,152.1840316,0.7788127896,0
2016p988252,,2016-12-31T15:40:59.686Z,2016-12-31T15:42:54.248Z,172.7541227,-42.70165285,2.862268327,15.78125,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.3363612372,102.9389032,0.4884557368,0
2016p988206,,2016-12-31T15:16:25.195Z,2016-12-31T15:18:59.281Z,173.6903652,-42.26315151,2.464027889,5.9375,M,,NonLinLoc,,automatic,nz3drx,16,16,6,0.1900390814,176.5583559,0.8223456824,0
2016p988197,,2016-12-31T15:11:38.149Z,2016-12-31T15:14:01.217Z,174.1431489,-41.8250413,2.369883744,10.390625,M,,NonLinLoc,,automatic,nz3drx,21,21,11,0.09177582752,154.2760295,0.7625657969,0
2016p988172,,2016-12-31T14:58:31.066Z,2016-12-31T15:31:05.320Z,171.1269937,-43.51998122,2.718697846,8.28125,M,,NonLinLoc,,automatic,nz3drx,25,25,8,0.2021406865,61.70577698,0.8824849599,0
2016p988145,,2016-12-31T14:44:04.044Z,2016-12-31T14:46:20.244Z,172.1473228,-41.9744004,2.859006814,81.875,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.6008964092,174.6150102,0.8272293896,0
2016p988133,,2016-12-31T14:37:43.747Z,2016-12-31T14:40:26.184Z,174.4284485,-41.58818502,1.985194837,14.140625,M,,NonLinLoc,,automatic,nz3drx,21,21,8,0.2299044791,130.6049699,0.7036668994,0
2016p988098,,2016-12-31T14:19:25.176Z,2016-12-31T14:21:45.468Z,177.0400389,-36.46517462,2.435603717,40.625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,1.105092162,243.7229509,1.475525783,0
2016p988086,earthquake,2016-12-31T14:12:35.409Z,2016-12-31T19:36:41.238Z,176.1764881,-38.59561969,1.476373353,5.05859375,M,,NonLinLoc,confirmed,manual,nz3drx,14,10,8,0.0554486129,66.67047801,0.113264945,0
2016p988068,,2016-12-31T14:02:37.613Z,2016-12-31T14:06:07.811Z,173.6927329,-42.24820222,2.589317045,25.15625,M,,NonLinLoc,,automatic,nz3drx,30,30,10,0.2033056196,139.5568596,0.8101572457,0
2016p988066,,2016-12-31T14:01:46.702Z,2016-12-31T14:03:46.160Z,173.3500681,-42.55198672,2.52877049,20.46875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.1951655139,147.8960804,0.5739665967,0
2016p988051,,2016-12-31T13:53:57.839Z,2016-12-31T13:56:07.706Z,174.2517956,-41.6772467,1.657838159,18.59375,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.07905307055,154.1571083,0.6680470474,0
2016p988033,,2016-12-31T13:44:08.821Z,2016-12-31T13:46:25.137Z,175.3379692,-40.56025113,2.378547953,21.875,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.3713915457,269.8240275,1.448386817,0
2016p988032,earthquake,2016-12-31T13:43:31.321Z,2017-01-27T01:47:44.066Z,173.5300576,-42.21342673,3.233909523,17.65625,M,,NonLinLoc,confirmed,manual,nz3drx,26,19,12,0.2026038894,100.0425599,0.4094945315,0
2016p988021,,2016-12-31T13:38:00.768Z,2016-12-31T13:40:29.649Z,173.6520836,-42.19028213,2.252440047,19.53125,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.2412204284,149.3452336,0.5343370902,0
